TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y)
,39.19,44.09,0.0,-18.0,2.5,-20.5
251,25.76,25.76,-9.0,-18.0,-11.5,-15.5
,25.76,26.20,-9.0,-18.0,-6.5,-15.5
,25.76,25.74,-9.0,-18.0,-9.0,-18.0
,25.76,25.20,-9.0,-18.0,-11.5,-20.5
,25.76,25.59,-9.0,-18.0,-6.5,-20.5
134,24.86,24.89,-18.0,-18.0,-20.5,-15.5
,24.86,25.61,-18.0,-18.0,-15.5,-15.5
,24.86,25.29,-18.0,-18.0,-18.0,-18.0
,24.86,24.39,-18.0,-18.0,-20.5,-20.5
,24.86,25.07,-18.0,-18.0,-15.5,-20.5
79,48.59,48.37,18.0,18.0,15.5,20.5
,48.59,47.12,18.0,18.0,20.5,20.5
,48.59,48.89,18.0,18.0,18.0,18.0
,48.59,49.41,18.0,18.0,15.5,15.5
,48.59,48.11,18.0,18.0,20.5,15.5
226,48.98,48.45,9.0,18.0,6.5,20.5
,48.98,48.47,9.0,18.0,11.5,20.5
,48.98,49.29,9.0,18.0,9.0,18.0
,48.98,49.50,9.0,18.0,6.5,15.5
,48.98,49.52,9.0,18.0,11.5,15.5
175,49.12,48.48,0.0,18.0,-2.5,20.5
,49.12,48.47,0.0,18.0,2.5,20.5
,49.12,49.31,0.0,18.0,0.0,18.0
,49.12,49.53,0.0,18.0,-2.5,15.5
,49.12,49.52,0.0,18.0,2.5,15.5
220,49.15,48.47,-9.0,18.0,-11.5,20.5
,49.15,48.45,-9.0,18.0,-6.5,20.5
,49.15,49.30,-9.0,18.0,-9.0,18.0
,49.15,49.52,-9.0,18.0,-11.5,15.5
,49.15,49.51,-9.0,18.0,-6.5,15.5
237,48.48,47.12,-18.0,18.0,-20.5,20.5
,48.48,48.37,-18.0,18.0,-15.5,20.5
,48.48,48.90,-18.0,18.0,-18.0,18.0
,48.48,48.12,-18.0,18.0,-20.5,15.5
,48.48,49.41,-18.0,18.0,-15.5,15.5
173,48.69,49.48,18.0,9.0,15.5,11.5
,48.69,48.17,18.0,9.0,20.5,11.5
,48.69,49.00,18.0,9.0,18.0,9.0
,48.69,48.94,18.0,9.0,15.5,6.5
,48.69,47.68,18.0,9.0,20.5,6.5
108,49.07,49.58,9.0,9.0,6.5,11.5
,49.07,49.59,9.0,9.0,11.5,11.5
,49.07,49.41,9.0,9.0,9.0,9.0
,49.07,49.01,9.0,9.0,6.5,6.5
,49.07,49.05,9.0,9.0,11.5,6.5
153,49.11,49.59,0.0,9.0,-2.5,11.5
,49.11,49.58,0.0,9.0,2.5,11.5
,49.11,49.40,0.0,9.0,0.0,9.0
,49.11,49.01,0.0,9.0,-2.5,6.5
,49.11,49.00,0.0,9.0,2.5,6.5
114,49.10,49.60,-9.0,9.0,-11.5,11.5
,49.10,49.58,-9.0,9.0,-6.5,11.5
,49.10,49.42,-9.0,9.0,-9.0,9.0
,49.10,49.05,-9.0,9.0,-11.5,6.5
,49.10,49.02,-9.0,9.0,-6.5,6.5
233,48.61,48.18,-18.0,9.0,-20.5,11.5
,48.61,49.48,-18.0,9.0,-15.5,11.5
,48.61,49.00,-18.0,9.0,-18.0,9.0
,48.61,47.68,-18.0,9.0,-20.5,6.5
,48.61,48.94,-18.0,9.0,-15.5,6.5
129,35.09,46.15,18.0,0.0,15.5,2.5
,35.09,45.04,18.0,0.0,20.5,2.5
,35.09,36.30,18.0,0.0,18.0,0.0
,35.09,29.51,18.0,0.0,15.5,-2.5
,35.09,28.60,18.0,0.0,20.5,-2.5
192,35.31,46.18,9.0,0.0,6.5,2.5
,35.31,46.23,9.0,0.0,11.5,2.5
,35.31,36.66,9.0,0.0,9.0,0.0
,35.31,29.61,9.0,0.0,6.5,-2.5
,35.31,29.61,9.0,0.0,11.5,-2.5
239,35.58,46.16,0.0,0.0,-2.5,2.5
,35.58,46.15,0.0,0.0,2.5,2.5
,35.58,36.61,0.0,0.0,0.0,0.0
,35.58,29.61,0.0,0.0,-2.5,-2.5
,35.58,29.60,0.0,0.0,2.5,-2.5
96,35.66,46.23,-9.0,0.0,-11.5,2.5
,35.66,46.19,-9.0,0.0,-6.5,2.5
,35.66,36.66,-9.0,0.0,-9.0,0.0
,35.66,29.62,-9.0,0.0,-11.5,-2.5
,35.66,29.62,-9.0,0.0,-6.5,-2.5
61,35.23,45.05,-18.0,0.0,-20.5,2.5
,35.23,46.15,-18.0,0.0,-15.5,2.5
,35.23,36.30,-18.0,0.0,-18.0,0.0
,35.23,28.61,-18.0,0.0,-20.5,-2.5
,35.23,29.51,-18.0,0.0,-15.5,-2.5
205,25.75,26.22,18.0,-9.0,15.5,-6.5
,25.75,25.48,18.0,-9.0,20.5,-6.5
,25.75,25.80,18.0,-9.0,18.0,-9.0
,25.75,25.86,18.0,-9.0,15.5,-11.5
,25.75,25.17,18.0,-9.0,20.5,-11.5
219,25.76,26.31,9.0,-9.0,6.5,-6.5
,25.76,26.31,9.0,-9.0,11.5,-6.5
,25.76,26.07,9.0,-9.0,9.0,-9.0
,25.76,25.94,9.0,-9.0,6.5,-11.5
,25.76,25.93,9.0,-9.0,11.5,-11.5
231,25.89,26.32,0.0,-9.0,-2.5,-6.5
,25.89,26.32,0.0,-9.0,2.5,-6.5
,25.89,26.08,0.0,-9.0,0.0,-9.0
,25.89,25.96,0.0,-9.0,-2.5,-11.5
,25.89,25.95,0.0,-9.0,2.5,-11.5
174,25.66,26.31,-9.0,-9.0,-11.5,-6.5
,25.66,26.32,-9.0,-9.0,-6.5,-6.5
,25.66,26.07,-9.0,-9.0,-9.0,-9.0
,25.66,25.94,-9.0,-9.0,-11.5,-11.5
,25.66,25.94,-9.0,-9.0,-6.5,-11.5
60,25.64,25.49,-18.0,-9.0,-20.5,-6.5
,25.64,26.22,-18.0,-9.0,-15.5,-6.5
,25.64,25.80,-18.0,-9.0,-18.0,-9.0
