TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
,2606,2614,-9,9,-10,12,,,
,2606,2620,-9,9,-9,12,,,
,2606,2629,-9,9,-8,12,,,
,2606,2642,-9,9,-7,12,,,
,2606,2662,-9,9,-6,12,,,
,2606,2604,-9,9,-12,11,,,
,2606,2609,-9,9,-11,11,,,
,2606,2614,-9,9,-10,11,,,
,2606,2620,-9,9,-9,11,,,
,2606,2629,-9,9,-8,11,,,
,2606,2643,-9,9,-7,11,,,
,2606,2662,-9,9,-6,11,,,
,2606,2604,-9,9,-12,10,,,
,2606,2609,-9,9,-11,10,,,
,2606,2614,-9,9,-10,10,,,
,2606,2620,-9,9,-9,10,,,
,2606,2629,-9,9,-8,10,,,
,2606,2643,-9,9,-7,10,,,
,2606,2662,-9,9,-6,10,,,
,2606,2604,-9,9,-12,9,,,
,2606,2608,-9,9,-11,9,,,
,2606,2614,-9,9,-10,9,,,
,2606,2620,-9,9,-9,9,,,
,2606,2629,-9,9,-8,9,,,
,2606,2642,-9,9,-7,9,,,
,2606,2662,-9,9,-6,9,,,
,2606,2603,-9,9,-12,8,,,
,2606,2608,-9,9,-11,8,,,
,2606,2613,-9,9,-10,8,,,
,2606,2620,-9,9,-9,8,,,
,2606,2629,-9,9,-8,8,,,
,2606,2642,-9,9,-7,8,,,
,2606,2662,-9,9,-6,8,,,
,2606,2603,-9,9,-12,7,,,
,2606,2608,-9,9,-11,7,,,
,2606,2613,-9,9,-10,7,,,
,2606,2620,-9,9,-9,7,,,
,2606,2629,-9,9,-8,7,,,
,2606,2642,-9,9,-7,7,,,
,2606,2661,-9,9,-6,7,,,
,2606,2603,-9,9,-12,6,,,
,2606,2608,-9,9,-11,6,,,
,2606,2613,-9,9,-10,6,,,
,2606,2620,-9,9,-9,6,,,
,2606,2629,-9,9,-8,6,,,
,2606,2642,-9,9,-7,6,,,
,2606,2661,-9,9,-6,6,,,
180,2521,2477,-18,9,-21,12,,,
,2521,2510,-18,9,-20,12,,,
,2521,2532,-18,9,-19,12,,,
,2521,2547,-18,9,-18,12,,,
,2521,2557,-18,9,-17,12,,,
,2521,2565,-18,9,-16,12,,,
,2521,2570,-18,9,-15,12,,,
,2521,2477,-18,9,-21,11,,,
,2521,2510,-18,9,-20,11,,,
,2521,2532,-18,9,-19,11,,,
,2521,2547,-18,9,-18,11,,,
,2521,2557,-18,9,-17,11,,,
,2521,2565,-18,9,-16,11,,,
,2521,2571,-18,9,-15,11,,,
,2521,2476,-18,9,-21,10,,,
,2521,2509,-18,9,-20,10,,,
,2521,2531,-18,9,-19,10,,,
,2521,2546,-18,9,-18,10,,,
,2521,2557,-18,9,-17,10,,,
,2521,2564,-18,9,-16,10,,,
,2521,2570,-18,9,-15,10,,,
,2521,2476,-18,9,-21,9,,,
,2521,2509,-18,9,-20,9,,,
,2521,2531,-18,9,-19,9,,,
,2521,2546,-18,9,-18,9,,,
,2521,2556,-18,9,-17,9,,,
,2521,2564,-18,9,-16,9,,,
,2521,2570,-18,9,-15,9,,,
,2521,2475,-18,9,-21,8,,,
,2521,2508,-18,9,-20,8,,,
,2521,2530,-18,9,-19,8,,,
,2521,2545,-18,9,-18,8,,,
,2521,2556,-18,9,-17,8,,,
,2521,2563,-18,9,-16,8,,,
,2521,2569,-18,9,-15,8,,,
,2521,2475,-18,9,-21,7,,,
,2521,2508,-18,9,-20,7,,,
,2521,2530,-18,9,-19,7,,,
,2521,2545,-18,9,-18,7,,,
,2521,2556,-18,9,-17,7,,,
,2521,2563,-18,9,-16,7,,,
,2521,2569,-18,9,-15,7,,,
,2521,2475,-18,9,-21,6,,,
,2521,2508,-18,9,-20,6,,,
,2521,2530,-18,9,-19,6,,,
,2521,2545,-18,9,-18,6,,,
,2521,2556,-18,9,-17,6,,,
,2521,2564,-18,9,-16,6,,,
,2521,2570,-18,9,-15,6,,,
121,4889,4944,18,0,15,3,,,
,4889,4939,18,0,16,3,,,
,4889,4931,18,0,17,3,,,
,4889,4916,18,0,18,3,,,
,4889,4892,18,0,19,3,,,
